ID,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
79,V_1-79,V_2-79,V_3-79,V_4-79,V_5-79,V_6-79,V_7-79,V_8-79,V_9-79,V_10-79,V_11-79,V_12-79,V_13-79,V_14-79,V_15-79,V_16-79,V_17-79,V_18-79,V_19-79,V_20-79,V_21-79,V_22-79,V_23-79,V_24-79,V_25-79,V_26-79,V_27-79,V_28-79,V_29-79,V_30-79
80,V_1-80,V_2-80,V_3-80,V_4-80,V_5-80,V_6-80,V_7-80,V_8-80,V_9-80,V_10-80,V_11-80,V_12-80,V_13-80,V_14-80,V_15-80,V_16-80,V_17-80,V_18-80,V_19-80,V_20-80,V_21-80,V_22-80,V_23-80,V_24-80,V_25-80,V_26-80,V_27-80,V_28-80,V_29-80,V_30-80
81,V_1-81,V_2-81,V_3-81,V_4-81,V_5-81,V_6-81,V_7-81,V_8-81,V_9-81,V_10-81,V_11-81,V_12-81,V_13-81,V_14-81,V_15-81,V_16-81,V_17-81,V_18-81,V_19-81,V_20-81,V_21-81,V_22-81,V_23-81,V_24-81,V_25-81,V_26-81,V_27-81,V_28-81,V_29-81,V_30-81
82,V_1-82,V_2-82,V_3-82,V_4-82,V_5-82,V_6-82,V_7-82,V_8-82,V_9-82,V_10-82,V_11-82,V_12-82,V_13-82,V_14-82,V_15-82,V_16-82,V_17-82,V_18-82,V_19-82,V_20-82,V_21-82,V_22-82,V_23-82,V_24-82,V_25-82,V_26-82,V_27-82,V_28-82,V_29-82,V_30-82
83,V_1-83,V_2-83,V_3-83,V_4-83,V_5-83,V_6-83,V_7-83,V_8-83,V_9-83,V_10-83,V_11-83,V_12-83,V_13-83,V_14-83,V_15-83,V_16-83,V_17-83,V_18-83,V_19-83,V_20-83,V_21-83,V_22-83,V_23-83,V_24-83,V_25-83,V_26-83,V_27-83,V_28-83,V_29-83,V_30-83
84,V_1-84,V_2-84,V_3-84,V_4-84,V_5-84,V_6-84,V_7-84,V_8-84,V_9-84,V_10-84,V_11-84,V_12-84,V_13-84,V_14-84,V_15-84,V_16-84,V_17-84,V_18-84,V_19-84,V_20-84,V_21-84,V_22-84,V_23-84,V_24-84,V_25-84,V_26-84,V_27-84,V_28-84,V_29-84,V_30-84
85,V_1-85,V_2-85,V_3-85,V_4-85,V_5-85,V_6-85,V_7-85,V_8-85,V_9-85,V_10-85,V_11-85,V_12-85,V_13-85,V_14-85,V_15-85,V_16-85,V_17-85,V_18-85,V_19-85,V_20-85,V_21-85,V_22-85,V_23-85,V_24-85,V_25-85,V_26-85,V_27-85,V_28-85,V_29-85,V_30-85
86,V_1-86,V_2-86,V_3-86,V_4-86,V_5-86,V_6-86,V_7-86,V_8-86,V_9-86,V_10-86,V_11-86,V_12-86,V_13-86,V_14-86,V_15-86,V_16-86,V_17-86,V_18-86,V_19-86,V_20-86,V_21-86,V_22-86,V_23-86,V_24-86,V_25-86,V_26-86,V_27-86,V_28-86,V_29-86,V_30-86
87,V_1-87,V_2-87,V_3-87,V_4-87,V_5-87,V_6-87,V_7-87,V_8-87,V_9-87,V_10-87,V_11-87,V_12-87,V_13-87,V_14-87,V_15-87,V_16-87,V_17-87,V_18-87,V_19-87,V_20-87,V_21-87,V_22-87,V_23-87,V_24-87,V_25-87,V_26-87,V_27-87,V_28-87,V_29-87,V_30-87
88,V_1-88,V_2-88,V_3-88,V_4-88,V_5-88,V_6-88,V_7-88,V_8-88,V_9-88,V_10-88,V_11-88,V_12-88,V_13-88,V_14-88,V_15-88,V_16-88,V_17-88,V_18-88,V_19-88,V_20-88,V_21-88,V_22-88,V_23-88,V_24-88,V_25-88,V_26-88,V_27-88,V_28-88,V_29-88,V_30-88
89,V_1-89,V_2-89,V_3-89,V_4-89,V_5-89,V_6-89,V_7-89,V_8-89,V_9-89,V_10-89,V_11-89,V_12-89,V_13-89,V_14-89,V_15-89,V_16-89,V_17-89,V_18-89,V_19-89,V_20-89,V_21-89,V_22-89,V_23-89,V_24-89,V_25-89,V_26-89,V_27-89,V_28-89,V_29-89,V_30-89
90,V_1-90,V_2-90,V_3-90,V_4-90,V_5-90,V_6-90,V_7-90,V_8-90,V_9-90,V_10-90,V_11-90,V_12-90,V_13-90,V_14-90,V_15-90,V_16-90,V_17-90,V_18-90,V_19-90,V_20-90,V_21-90,V_22-90,V_23-90,V_24-90,V_25-90,V_26-90,V_27-90,V_28-90,V_29-90,V_30-90
91,V_1-91,V_2-91,V_3-91,V_4-91,V_5-91,V_6-91,V_7-91,V_8-91,V_9-91,V_10-91,V_11-91,V_12-91,V_13-91,V_14-91,V_15-91,V_16-91,V_17-91,V_18-91,V_19-91,V_20-91,V_21-91,V_22-91,V_23-91,V_24-91,V_25-91,V_26-91,V_27-91,V_28-91,V_29-91,V_30-91
92,V_1-92,V_2-92,V_3-92,V_4-92,V_5-92,V_6-92,V_7-92,V_8-92,V_9-92,V_10-92,V_11-92,V_12-92,V_13-92,V_14-92,V_15-92,V_16-92,V_17-92,V_18-92,V_19-92,V_20-92,V_21-92,V_22-92,V_23-92,V_24-92,V_25-92,V_26-92,V_27-92,V_28-92,V_29-92,V_30-92
93,V_1-93,V_2-93,V_3-93,V_4-93,V_5-93,V_6-93,V_7-93,V_8-93,V_9-93,V_10-93,V_11-93,V_12-93,V_13-93,V_14-93,V_15-93,V_16-93,V_17-93,V_18-93,V_19-93,V_20-93,V_21-93,V_22-93,V_23-93,V_24-93,V_25-93,V_26-93,V_27-93,V_28-93,V_29-93,V_30-93
94,V_1-94,V_2-94,V_3-94,V_4-94,V_5-94,V_6-94,V_7-94,V_8-94,V_9-94,V_10-94,V_11-94,V_12-94,V_13-94,V_14-94,V_15-94,V_16-94,V_17-94,V_18-94,V_19-94,V_20-94,V_21-94,V_22-94,V_23-94,V_24-94,V_25-94,V_26-94,V_27-94,V_28-94,V_29-94,V_30-94
95,V_1-95,V_2-95,V_3-95,V_4-95,V_5-95,V_6-95,V_7-95,V_8-95,V_9-95,V_10-95,V_11-95,V_12-95,V_13-95,V_14-95,V_15-95,V_16-95,V_17-95,V_18-95,V_19-95,V_20-95,V_21-95,V_22-95,V_23-95,V_24-95,V_25-95,V_26-95,V_27-95,V_28-95,V_29-95,V_30-95
96,V_1-96,V_2-96,V_3-96,V_4-96,V_5-96,V_6-96,V_7-96,V_8-96,V_9-96,V_10-96,V_11-96,V_12-96,V_13-96,V_14-96,V_15-96,V_16-96,V_17-96,V_18-96,V_19-96,V_20-96,V_21-96,V_22-96,V_23-96,V_24-96,V_25-96,V_26-96,V_27-96,V_28-96,V_29-96,V_30-96
97,V_1-97,V_2-97,V_3-97,V_4-97,V_5-97,V_6-97,V_7-97,V_8-97,V_9-97,V_10-97,V_11-97,V_12-97,V_13-97,V_14-97,V_15-97,V_16-97,V_17-97,V_18-97,V_19-97,V_20-97,V_21-97,V_22-97,V_23-97,V_24-97,V_25-97,V_26-97,V_27-97,V_28-97,V_29-97,V_30-97
98,V_1-98,V_2-98,V_3-98,V_4-98,V_5-98,V_6-98,V_7-98,V_8-98,V_9-98,V_10-98,V_11-98,V_12-98,V_13-98,V_14-98,V_15-98,V_16-98,V_17-98,V_18-98,V_19-98,V_20-98,V_21-98,V_22-98,V_23-98,V_24-98,V_25-98,V_26-98,V_27-98,V_28-98,V_29-98,V_30-98
99,V_1-99,V_2-99,V_3-99,V_4-99,V_5-99,V_6-99,V_7-99,V_8-99,V_9-99,V_10-99,V_11-99,V_12-99,V_13-99,V_14-99,V_15-99,V_16-99,V_17-99,V_18-99,V_19-99,V_20-99,V_21-99,V_22-99,V_23-99,V_24-99,V_25-99,V_26-99,V_27-99,V_28-99,V_29-99,V_30-99
100,V_1-100,V_2-100,V_3-100,V_4-100,V_5-100,V_6-100,V_7-100,V_8-100,V_9-100,V_10-100,V_11-100,V_12-100,V_13-100,V_14-100,V_15-100,V_16-100,V_17-100,V_18-100,V_19-100,V_20-100,V_21-100,V_22-100,V_23-100,V_24-100,V_25-100,V_26-100,V_27-100,V_28-100,V_29-100,V_30-100
101,V_1-101,V_2-101,V_3-101,V_4-101,V_5-101,V_6-101,V_7-101,V_8-101,V_9-101,V_10-101,V_11-101,V_12-101,V_13-101,V_14-101,V_15-101,V_16-101,V_17-101,V_18-101,V_19-101,V_20-101,V_21-101,V_22-101,V_23-101,V_24-101,V_25-101,V_26-101,V_27-101,V_28-101,V_29-101,V_30-101
102,V_1-102,V_2-102,V_3-102,V_4-102,V_5-102,V_6-102,V_7-102,V_8-102,V_9-102,V_10-102,V_11-102,V_12-102,V_13-102,V_14-102,V_15-102,V_16-102,V_17-102,V_18-102,V_19-102,V_20-102,V_21-102,V_22-102,V_23-102,V_24-102,V_25-102,V_26-102,V_27-102,V_28-102,V_29-102,V_30-102
103,V_1-103,V_2-103,V_3-103,V_4-103,V_5-103,V_6-103,V_7-103,V_8-103,V_9-103,V_10-103,V_11-103,V_12-103,V_13-103,V_14-103,V_15-103,V_16-103,V_17-103,V_18-103,V_19-103,V_20-103,V_21-103,V_22-103,V_23-103,V_24-103,V_25-103,V_26-103,V_27-103,V_28-103,V_29-103,V_30-103
